Schema,Code,StructureLabel,Description,AlphaBetaRatio
FMA (3.2),234386, Left external jugular lymph node, Left external jugular lymph node,0
FMA (3.2),224364, Left external jugular lymphatic chain, Left external jugular lymphatic chain,0
FMA (3.2),13337, Left external oblique, Left external oblique,0
FMA (3.2),85052, Left extraperitoneal compartment, Left extraperitoneal compartment,0
FMA (3.2),14732, Left extraperitoneal space, Left extraperitoneal space,0
FMA (3.2),24556, Left extrapulmonary vein, Left extrapulmonary vein,0
FMA (3.2),54450, Left eye, Left eye,2
FMA (3.2),223832, Left facial lymphatic chain, Left facial lymphatic chain,0
FMA (3.2),223701, Left female breast proper, Left female breast proper,0
FMA (3.2),16500, Left femoral nerve, Left femoral nerve,0
FMA (3.2),24481, Left fibula, Left fibula,0
FMA (3.2),75272, Left fibular bursa, Left fibular bursa,0
FMA (3.2),275985, Left fibular lymph node, Left fibular lymph node,0
FMA (3.2),231913, Left fibular tarsal synovial tendon sheath, Left fibular tarsal synovial tendon sheath,0
FMA (3.2),22555, Left fibularis brevis, Left fibularis brevis,0
FMA (3.2),22553, Left fibularis longus, Left fibularis longus,0
FMA (3.2),22551, Left fibularis tertius, Left fibularis tertius,0
FMA (3.2),81546, Left fifth anterior cervical intertransversarius, Left fifth anterior cervical intertransversarius,0
FMA (3.2),6457, Left fifth cervical nerve, Left fifth cervical nerve,0
FMA (3.2),9781, Left fifth external intercostal muscle, Left fifth external intercostal muscle,0
FMA (3.2),71147, Left fifth innermost intercostal muscle, Left fifth innermost intercostal muscle,0
FMA (3.2),234422, Left fifth intercostal lymph node, Left fifth intercostal lymph node,0
FMA (3.2),223961, Left fifth intercostal lymphatic chain, Left fifth intercostal lymphatic chain,0
FMA (3.2),9805, Left fifth internal intercostal muscle, Left fifth internal intercostal muscle,0
FMA (3.2),81609, Left fifth interspinalis cervicis, Left fifth interspinalis cervicis,0
FMA (3.2),81595, Left fifth lateral lumbar intertransversarius, Left fifth lateral lumbar intertransversarius,0
FMA (3.2),82375, Left fifth levator costae, Left fifth levator costae,0
FMA (3.2),6422, Left fifth lumbar nerve, Left fifth lumbar nerve,0
FMA (3.2),81585, Left fifth medial lumbar intertransversarius, Left fifth medial lumbar intertransversarius,0
FMA (3.2),24473, Left fifth metacarpal bone, Left fifth metacarpal bone,0
FMA (3.2),24516, Left fifth metatarsal bone, Left fifth metatarsal bone,0
FMA (3.2),81560, Left fifth posterior cervical intertransversarius, Left fifth posterior cervical intertransversarius,0
FMA (3.2),8093, Left fifth rib, Left fifth rib,0
FMA (3.2),6437, Left fifth sacral nerve, Left fifth sacral nerve,0
FMA (3.2),6295, Left fifth thoracic nerve, Left fifth thoracic nerve,0
FMA (3.2),81515, Left fifth thoracic rotator, Left fifth thoracic rotator,0
FMA (3.2),54658, Left fimbriated fold of tongue, Left fimbriated fold of tongue,0
FMA (3.2),81538, Left first anterior cervical intertransversarius, Left first anterior cervical intertransversarius,0
FMA (3.2),6442, Left first cervical nerve, Left first cervical nerve,0
FMA (3.2),9777, Left first external intercostal muscle, Left first external intercostal muscle,0
FMA (3.2),71137, Left first innermost intercostal muscle, Left first innermost intercostal muscle,0
FMA (3.2),234398, Left first intercostal lymph node, Left first intercostal lymph node,0
FMA (3.2),223927, Left first intercostal lymphatic chain, Left first intercostal lymphatic chain,0
FMA (3.2),9801, Left first internal intercostal muscle, Left first internal intercostal muscle,0
FMA (3.2),81601, Left first interspinalis cervicis, Left first interspinalis cervicis,0
FMA (3.2),81615, Left first interspinalis lumborum, Left first interspinalis lumborum,0
FMA (3.2),81587, Left first lateral lumbar intertransversarius, Left first lateral lumbar intertransversarius,0
FMA (3.2),82367, Left first levator costae, Left first levator costae,0
FMA (3.2),6411, Left first lumbar nerve, Left first lumbar nerve,0
FMA (3.2),6925, Left first lumbar splanchnic nerve, Left first lumbar splanchnic nerve,0
FMA (3.2),81577, Left first medial lumbar intertransversarius, Left first medial lumbar intertransversarius,0
FMA (3.2),24465, Left first metacarpal bone, Left first metacarpal bone,0
FMA (3.2),24508, Left first metatarsal bone, Left first metatarsal bone,0
FMA (3.2),81552, Left first posterior cervical intertransversarius, Left first posterior cervical intertransversarius,0
FMA (3.2),4798, Left first posterior intercostal vein, Left first posterior intercostal vein,0
FMA (3.2),7987, Left first rib, Left first rib,0
FMA (3.2),6429, Left first sacral nerve, Left first sacral nerve,0
FMA (3.2),4170, Left first superior phrenic artery, Left first superior phrenic artery,0
FMA (3.2),6039, Left first thoracic nerve, Left first thoracic nerve,0
FMA (3.2),81507, Left first thoracic rotator, Left first thoracic rotator,0
FMA (3.2),37466, Left flexor accessorius, Left flexor accessorius,0
FMA (3.2),38461, Left flexor carpi radialis, Left flexor carpi radialis,0
FMA (3.2),38467, Left flexor carpi ulnaris, Left flexor carpi ulnaris,0
FMA (3.2),37462, Left flexor digitorum brevis, Left flexor digitorum brevis,0
FMA (3.2),65017, Left flexor digitorum longus, Left flexor digitorum longus,0
FMA (3.2),38480, Left flexor digitorum profundus, Left flexor digitorum profundus,0
FMA (3.2),38471, Left flexor digitorum superficialis, Left flexor digitorum superficialis,0
FMA (3.2),37468, Left flexor hallucis brevis, Left flexor hallucis brevis,0
FMA (3.2),65015, Left flexor hallucis longus, Left flexor hallucis longus,0
FMA (3.2),37389, Left flexor pollicis brevis, Left flexor pollicis brevis,0
FMA (3.2),38484, Left flexor pollicis longus, Left flexor pollicis longus,0
FMA (3.2),81544, Left fourth anterior cervical intertransversarius, Left fourth anterior cervical intertransversarius,0
FMA (3.2),6455, Left fourth cervical nerve, Left fourth cervical nerve,0
FMA (3.2),9780, Left fourth external intercostal muscle, Left fourth external intercostal muscle,0
FMA (3.2),71144, Left fourth innermost intercostal muscle, Left fourth innermost intercostal muscle,0
FMA (3.2),234416, Left fourth intercostal lymph node, Left fourth intercostal lymph node,0
FMA (3.2),223955, Left fourth intercostal lymphatic chain, Left fourth intercostal lymphatic chain,0
FMA (3.2),9804, Left fourth internal intercostal muscle, Left fourth internal intercostal muscle,0
FMA (3.2),81607, Left fourth interspinalis cervicis, Left fourth interspinalis cervicis,0
FMA (3.2),81621, Left fourth interspinalis lumborum, Left fourth interspinalis lumborum,0
FMA (3.2),81593, Left fourth lateral lumbar intertransversarius, Left fourth lateral lumbar intertransversarius,0
FMA (3.2),82373, Left fourth levator costae, Left fourth levator costae,0
FMA (3.2),6420, Left fourth lumbar nerve, Left fourth lumbar nerve,0
FMA (3.2),6931, Left fourth lumbar splanchnic nerve, Left fourth lumbar splanchnic nerve,0
FMA (3.2),81583, Left fourth medial lumbar intertransversarius, Left fourth medial lumbar intertransversarius,0
FMA (3.2),24471, Left fourth metacarpal bone, Left fourth metacarpal bone,0
FMA (3.2),24514, Left fourth metatarsal bone, Left fourth metatarsal bone,0
FMA (3.2),81558, Left fourth posterior cervical intertransversarius, Left fourth posterior cervical intertransversarius,0
FMA (3.2),8148, Left fourth rib, Left fourth rib,0
FMA (3.2),6435, Left fourth sacral nerve, Left fourth sacral nerve,0
FMA (3.2),6292, Left fourth thoracic nerve, Left fourth thoracic nerve,0
FMA (3.2),81513, Left fourth thoracic rotator, Left fourth thoracic rotator,0
FMA (3.2),51484, Left frontal vein, Left frontal vein,0
FMA (3.2),72690, Left fusiform gyrus, Left fusiform gyrus,0
FMA (3.2),14768, Left gastric artery, Left gastric artery,0
FMA (3.2),70432, Left gastric artery proper, Left gastric artery proper,0
FMA (3.2),75278, Left gastric lymph node group, Left gastric lymph node group,0
FMA (3.2),224305, Left gastric lymphatic chain, Left gastric lymphatic chain,0
FMA (3.2),12797, Left gastric nodes, Left gastric lymph node,0
FMA (3.2),15399, Left gastric vein, Left gastric vein,0
FMA (3.2),22557, Left gastrocnemius, Left gastrocnemius,0
FMA (3.2),14796, Left gastro-epiploic artery, Left gastro-epiploic artery,0
FMA (3.2),277654, Left gastro-epiploic lymph node, Left gastro-epiploic lymph node,0
FMA (3.2),75281, Left gastro-epiploic lymph node group, Left gastro-epiploic lymph node group,0
FMA (3.2),277949, Left gastro-epiploic lymphatic chain, Left gastro-epiploic lymphatic chain,0
FMA (3.2),15390, Left gastroepiploic vein, Left gastroepiploic vein,0
FMA (3.2),22337, Left gemellus inferior, Left gemellus inferior,0
FMA (3.2),22335, Left gemellus superior, Left gemellus superior,0
FMA (3.2),46702, Left genioglossus, Left genioglossus,0
FMA (3.2),46327, Left geniohyoid, Left geniohyoid,0
FMA (3.2),50894, Left glossopharyngeal nerve, Left glossopharyngeal nerve,0
FMA (3.2),22329, Left gluteus maximus, Left gluteus maximus,0
FMA (3.2),22331, Left gluteus medius, Left gluteus medius,0
FMA (3.2),22333, Left gluteus minimus, Left gluteus minimus,0
FMA (3.2),43884, Left gracilis, Left gracilis,0
FMA (3.2),55156, Left great auricular nerve, Left great auricular nerve,0
FMA (3.2),50995, Left great cerebral vein, Left great cerebral vein,0
FMA (3.2),6955, Left greater splanchnic nerve, Left greater splanchnic nerve,0
FMA (3.2),45797, Left greater supraclavicular compartment, Left greater supraclavicular compartment,0
FMA (3.2),84960, Left greater supraclavicular fossa, Left greater supraclavicular fossa,0
FMA (3.2),20012, Left greater vestibular gland, Left greater vestibular gland,0
FMA (3.2),274561, Left gyrus descendens of Ecker, Left gyrus descendens of Ecker,0
FMA (3.2),24449, Left hamate, Left hamate,0
FMA (3.2),59477, Left head of mandible, Left head of mandible,0
FMA (3.2),48970, Left helicis major, Left helicis major,0
FMA (3.2),48973, Left helicis minor, Left helicis minor,0
FMA (3.2),20436, Left hemiscrotum, Left hemiscrotum,0
FMA (3.2),14779, Left hepatic artery, Left hepatic artery,0
FMA (3.2),14670, Left hepatic duct, Left hepatic duct,0
FMA (3.2),277913, Left hepatic lymph node, Left hepatic lymph node,0
FMA (3.2),236759, Left hepatic lymphatic chain, Left hepatic lymphatic chain,0
FMA (3.2),24966, Left hip, Left hip,0
FMA (3.2),16587, Left hip bone, Left hip bone,0
FMA (3.2),23131, Left humerus, Left humerus,0
FMA (3.2),46704, Left hyoglossus, Left hyoglossus,0
FMA (3.2),50903, Left hypoglossal nerve, Left hypoglossal nerve,0
FMA (3.2),22323, Left iliacus, Left iliacus,0
FMA (3.2),258848, Left iliocostalis, Left iliocostalis,0
FMA (3.2),22745, Left iliocostalis cervicis, Left iliocostalis cervicis,0
FMA (3.2),22741, Left iliocostalis lumborum, Left iliocostalis lumborum,0
FMA (3.2),22743, Left iliocostalis thoracis, Left iliocostalis thoracis,0
FMA (3.2),18904, Left iliolumbar vein, Left iliolumbar vein,0
FMA (3.2),75387, Left iliopectineal bursa, Left iliopectineal bursa,0
FMA (3.2),16591, Left ilium, Left ilium,1
FMA (3.2),49105, Left incisivus labii inferioris, Left incisivus labii inferioris,0
FMA (3.2),49103, Left incisivus labii superioris, Left incisivus labii superioris,0
FMA (3.2),74051, Left incus, Left incus,0
FMA (3.2),51243, Left inferior anastomotic vein, Left inferior anastomotic vein,0
FMA (3.2),8679, Left inferior basal vein, Left inferior basal vein,0
FMA (3.2),52451, Left inferior cerebellar vein, Left inferior cerebellar vein,0
FMA (3.2),51002, Left inferior choroid vein, Left inferior choroid vein,0
FMA (3.2),18913, Left inferior gluteal vein, Left inferior gluteal vein,0
FMA (3.2),232592, Left inferior inguinal lymph node, Left inferior inguinal lymph node,0
FMA (3.2),46714, Left inferior longitudinal muscle of tongue, Left inferior longitudinal muscle of tongue,0
FMA (3.2),54738, Left inferior nasal concha, Left inferior nasal concha,0
FMA (3.2),57486, Left inferior nasal meatus, Left inferior nasal meatus,0
FMA (3.2),49051, Left inferior oblique, Left inferior oblique,0
FMA (3.2),273133, Left inferior occipital gyrus, Left inferior occipital gyrus,0
FMA (3.2),51600, Left inferior orbital vein, Left inferior orbital vein,0
FMA (3.2),55563, Left inferior parathyroid gland, Left inferior parathyroid gland,0
FMA (3.2),81255, Left inferior parietal lobule, Left inferior parietal lobule,0
FMA (3.2),46636, Left inferior pharyngeal constrictor, Left inferior pharyngeal constrictor,0
FMA (3.2),14747, Left inferior phrenic artery, Left inferior phrenic artery,0
FMA (3.2),68070, Left inferior phrenic vein, Left inferior phrenic vein,0
FMA (3.2),49913, Left inferior pulmonary vein, Left inferior pulmonary vein,0
FMA (3.2),49047, Left inferior rectus, Left inferior rectus,0
FMA (3.2),65309, Left inferior subscapular nerve, Left inferior subscapular nerve,0
FMA (3.2),72688, Left inferior temporal gyrus, Left inferior temporal gyrus,0
FMA (3.2),51602, Left inferior temporal vein, Left inferior temporal vein,0
FMA (3.2),51321, Left inferior thalamostriate vein, Left inferior thalamostriate vein,0
FMA (3.2),4765, Left inferior thyroid vein, Left inferior thyroid vein,0
FMA (3.2),5964, Left inferior tracheobronchial lymph node, Left inferior tracheobronchial lymph node,0
FMA (3.2),51327, Left inferior ventricular vein, Left inferior ventricular vein,0
FMA (3.2),18892, Left inferior vesical vein, Left inferior vesical vein,0
FMA (3.2),77988, Left infra-auricular lymph node, Left infra-auricular lymph node,0
FMA (3.2),232188, Left infra-auricular lymphatic chain, Left infra-auricular lymphatic chain,0
FMA (3.2),232580, Left infraclavicular lymph node, Left infraclavicular lymph node,0
FMA (3.2),61481, Left infraclavicular part of chest, Left infraclavicular part of chest,0
FMA (3.2),75393, Left infrahyoid bursa, Left infrahyoid bursa,0
FMA (3.2),232689, Left infrahyoid lymph node, Left infrahyoid lymph node,0
FMA (3.2),232280, Left infrahyoid lymphatic chain, Left infrahyoid lymphatic chain,0
FMA (3.2),32548, Left infraspinatus muscle, Left infraspinatus muscle,0
FMA (3.2),72978, Left insula, Left insula,0
FMA (3.2),51318, Left insular vein, Left insular vein,0
FMA (3.2),51377, Left intercollicular vein, Left intercollicular vein,0
FMA (3.2),276832, Left interlobar lymph node, Left interlobar lymph node,0
FMA (3.2),24524, Left intermediate cuneiform bone, Left intermediate cuneiform bone,0
FMA (3.2),275989, Left intermediate lacunar lymph node, Left intermediate lacunar lymph node,0
FMA (3.2),52395, Left internal auditory vein, Left internal auditory vein,0
FMA (3.2),4062, Left internal carotid artery, Left internal carotid artery,0
FMA (3.2),51005, Left internal cerebral vein, Left internal cerebral vein,0
FMA (3.2),61021, Left internal ear, Left internal ear,0
FMA (3.2),18810, Left internal iliac artery, Left internal iliac artery,0
FMA (3.2),233597, Left internal iliac lymph node group, Left internal iliac lymph node group,0
FMA (3.2),18888, Left internal iliac vein, Left internal iliac vein,0
FMA (3.2),4762, Left internal jugular vein, Left internal jugular vein,0
FMA (3.2),13893, Left internal oblique, Left internal oblique,0
FMA (3.2),18919, Left internal pudendal vein, Left internal pudendal vein,0
FMA (3.2),4766, Left internal thoracic vein, Left internal thoracic vein,0
FMA (3.2),51379, Left interpeduncular vein, Left interpeduncular vein,0
FMA (3.2),22891, Left interspinalis thoracis, Left interspinalis thoracis,0
FMA (3.2),235550, Left intestinal lymphatic trunk, Left intestinal lymphatic trunk,0
FMA (3.2),77990, Left intraglandular lymph node, Left intraglandular lymph node,0
FMA (3.2),275058, Left intralimbic gyrus, Left intralimbic gyrus,0
FMA (3.2),58237, Left iris, Left iris,0
FMA (3.2),21924, Left ischiocavernosus, Left ischiocavernosus,0
FMA (3.2),43537, Left ischiopubic ramus, Left ischiopubic ramus,0
FMA (3.2),16594, Left ischium, Left ischium,0
FMA (3.2),232846, Left jugular lymphatic chain, Left jugular lymphatic chain,0
FMA (3.2),66145, Left jugular lymphatic tree, Left jugular lymphatic tree,0
FMA (3.2),265605, Left jugular lymphatic tree proper, Left jugular lymphatic tree proper,0
FMA (3.2),5032, Left jugular lymphatic trunk, Left jugular lymphatic trunk,0
FMA (3.2),232701, Left jugulodigastric lymph node, Left jugulodigastric lymph node,0
FMA (3.2),223876, Left jugulodigastric lymphatic chain, Left jugulodigastric lymphatic chain,0
FMA (3.2),232507, Left jugulo-omohyoid lymph node, Left jugulo-omohyoid lymph node,0
FMA (3.2),232752, Left jugulo-omohyoid lymphatic chain, Left jugulo-omohyoid lymphatic chain,0
FMA (3.2),20372, Left labium majus, Left labium majus,0
FMA (3.2),20381, Left labium minus, Left labium minus,0
FMA (3.2),53646, Left lacrimal bone, Left lacrimal bone,0
FMA (3.2),61065, Left lacrimal duct, Left lacrimal duct,0
FMA (3.2),24058, Left lamina of axis, Left lamina of axis,0
FMA (3.2),12060, Left lamina of eighth thoracic vertebra, Left lamina of eighth thoracic vertebra,0
FMA (3.2),12088, Left lamina of eleventh thoracic vertebra, Left lamina of eleventh thoracic vertebra,0
FMA (3.2),26370, Left lamina of fifth cervical vertebra, Left lamina of fifth cervical vertebra,0
FMA (3.2),16178, Left lamina of fifth lumbar vertebra, Left lamina of fifth lumbar vertebra,0
FMA (3.2),11991, Left lamina of fifth thoracic vertebra, Left lamina of fifth thoracic vertebra,0
FMA (3.2),16170, Left lamina of first lumbar vertebra, Left lamina of first lumbar vertebra,0
FMA (3.2),31839, Left lamina of first sacral vertebra, Left lamina of first sacral vertebra,0
FMA (3.2),12001, Left lamina of first thoracic vertebra, Left lamina of first thoracic vertebra,0
FMA (3.2),26320, Left lamina of fourth cervical vertebra, Left lamina of fourth cervical vertebra,0
FMA (3.2),16176, Left lamina of fourth lumbar vertebra, Left lamina of fourth lumbar vertebra,0
FMA (3.2),11984, Left lamina of fourth thoracic vertebra, Left lamina of fourth thoracic vertebra,0
FMA (3.2),12065, Left lamina of ninth thoracic vertebra, Left lamina of ninth thoracic vertebra,0
FMA (3.2),16172, Left lamina of second lumbar vertebra, Left lamina of second lumbar vertebra,0
FMA (3.2),12021, Left lamina of second thoracic vertebra, Left lamina of second thoracic vertebra,0
FMA (3.2),26473, Left lamina of seventh cervical vertebra, Left lamina of seventh cervical vertebra,0
FMA (3.2),12053, Left lamina of seventh thoracic vertebra, Left lamina of seventh thoracic vertebra,0
FMA (3.2),26423, Left lamina of sixth cervical vertebra, Left lamina of sixth cervical vertebra,0
FMA (3.2),12046, Left lamina of sixth thoracic vertebra, Left lamina of sixth thoracic vertebra,0
FMA (3.2),12070, Left lamina of tenth thoracic vertebra, Left lamina of tenth thoracic vertebra,0
FMA (3.2),24244, Left lamina of third cervical vertebra, Left lamina of third cervical vertebra,0
FMA (3.2),16174, Left lamina of third lumbar vertebra, Left lamina of third lumbar vertebra,0
FMA (3.2),11972, Left lamina of third thoracic vertebra, Left lamina of third thoracic vertebra,0
FMA (3.2),11970, Left lamina of thoracic vertebra, Left lamina of thoracic vertebra,0
FMA (3.2),12111, Left lamina of twelfth thoracic vertebra, Left lamina of twelfth thoracic vertebra,0
FMA (3.2),64179, Left laryngeal saccule, Left laryngeal saccule,0
FMA (3.2),64177, Left laryngeal ventricle, Left laryngeal ventricle,0
FMA (3.2),64181, Left laryngeal ventricle proper, Left laryngeal ventricle proper,0
FMA (3.2),16606, Left lateral aortic lymph node, Left lateral aortic lymph node,0
FMA (3.2),233573, Left lateral aortic lymph node group, Left lateral aortic lymph node group,0
FMA (3.2),223903, Left lateral aortic lymphatic chain, Left lateral aortic lymphatic chain,0
FMA (3.2),232564, Left lateral axillary lymph node, Left lateral axillary lymph node,0
FMA (3.2),73256, Left lateral axillary lymphatic chain, Left lateral axillary lymphatic chain,0
FMA (3.2),9450, Left lateral basal segmental vein, Left lateral basal segmental vein,0
FMA (3.2),232393, Left lateral cervical lymphatic chain, Left lateral cervical lymphatic chain,0
FMA (3.2),46581, Left lateral crico-arytenoid, Left lateral crico-arytenoid,0
FMA (3.2),24526, Left lateral cuneiform bone, Left lateral cuneiform bone,0
FMA (3.2),224651, Left lateral deep cervical lymphatic chain, Left lateral deep cervical lymphatic chain,0
FMA (3.2),5939, Left lateral diaphragmatic lymph node, Left lateral diaphragmatic lymph node,0
FMA (3.2),16498, Left lateral femoral cutaneous nerve, Left lateral femoral cutaneous nerve,0
FMA (3.2),232713, Left lateral inferior deep cervical lymph node, Left lateral inferior deep cervical lymph node,0
FMA (3.2),232441, Left lateral inferior deep cervical lymphatic chain, Left lateral inferior deep cervical lymphatic chain,0
FMA (3.2),275993, Left lateral lacunar lymph node, Left lateral lacunar lymph node,0
FMA (3.2),51373, Left lateral mesencephalic vein, Left lateral mesencephalic vein,0
FMA (3.2),72678, Left lateral occipital gyrus, Left lateral occipital gyrus,0
FMA (3.2),65297, Left lateral pectoral nerve, Left lateral pectoral nerve,0
FMA (3.2),232635, Left lateral pericardial lymph node, Left lateral pericardial lymph node,0
FMA (3.2),84969, Left lateral pharyngeal compartment, Left lateral pharyngeal compartment,0
FMA (3.2),55083, Left lateral pharyngeal space, Left lateral pharyngeal space,0
FMA (3.2),49055, Left lateral rectus, Left lateral rectus,0
FMA (3.2),265695, Left lateral retropharyngeal lymphatic chain, Left lateral retropharyngeal lymphatic chain,0
FMA (3.2),236068, Left lateral sacral lymphatic chain, Left lateral sacral lymphatic chain,0
FMA (3.2),18907, Left lateral sacral vein, Left lateral sacral vein,0
FMA (3.2),60195, Left lateral semicircular canal, Left lateral semicircular canal,0
FMA (3.2),232705, Left lateral superior deep cervical lymph node, Left lateral superior deep cervical lymph node,0
FMA (3.2),232433, Left lateral superior deep cervical lymphatic chain, Left lateral superior deep cervical lymphatic chain,0
FMA (3.2),55066, Left lateral wall of laryngopharynx, Left lateral wall of laryngopharynx,0
FMA (3.2),54912, Left lateral wall of nasopharynx, Left lateral wall of nasopharynx,0
FMA (3.2),55010, Left lateral wall of oropharynx, Left lateral wall of oropharynx,0
FMA (3.2),55088, Left lateral wall of pharynx, Left lateral wall of pharynx,0
FMA (3.2),13359, Left latissimus dorsi, Left latissimus dorsi,0
FMA (3.2),6960, Left least splanchnic nerve, Left least splanchnic nerve,0
FMA (3.2),6958, Left lesser splanchnic nerve, Left lesser splanchnic nerve,0
FMA (3.2),45794, Left lesser supraclavicular compartment, Left lesser supraclavicular compartment,0
FMA (3.2),84983, Left lesser supraclavicular fossa, Left lesser supraclavicular fossa,0
FMA (3.2),46824, Left levator anguli oris, Left levator anguli oris,0
FMA (3.2),82939, Left levator ani, Left levator ani,0
FMA (3.2),46807, Left levator labii superioris, Left levator labii superioris,0
FMA (3.2),46804, Left levator labii superioris alaeque nasi, Left levator labii superioris alaeque nasi,0
FMA (3.2),49049, Left levator palpebrae superioris, Left levator palpebrae superioris,0
FMA (3.2),32541, Left levator scapulae, Left levator scapulae,0
FMA (3.2),46729, Left levator veli palatini, Left levator veli palatini,0
FMA (3.2),276001, Left level I axillary lymph node, Left level I axillary lymph node,0
FMA (3.2),276005, Left level II axillary lymph node, Left level II axillary lymph node,0
FMA (3.2),241975, Left level IIa lymphatic chain, Left level IIa lymphatic chain,0
FMA (3.2),241979, Left level IIb lymphatic chain, Left level IIb lymphatic chain,0
FMA (3.2),276009, Left level III axillary lymph node, Left level III axillary lymph node,0
FMA (3.2),275052, Left limbic gyrus, Left limbic gyrus,0
FMA (3.2),72981, Left limbic lobe, Left limbic lobe,0
FMA (3.2),72682, Left lingual gyrus, Left lingual gyrus,0
FMA (3.2),232642, Left lingual lymph node, Left lingual lymph node,0
FMA (3.2),265682, Left lingual lymphatic chain, Left lingual lymphatic chain,0
FMA (3.2),276853, Left lobar lymph node, Left lobar lymph node,0
FMA (3.2),65282, Left long thoracic nerve, Left long thoracic nerve,0
FMA (3.2),264845, Left longissimus, Left longissimus,0
FMA (3.2),22756, Left longissimus capitis, Left longissimus capitis,0
FMA (3.2),22758, Left longissimus cervicis, Left longissimus cervicis,0
FMA (3.2),22753, Left longissimus thoracis, Left longissimus thoracis,0
FMA (3.2),46310, Left longus capitis, Left longus capitis,0
FMA (3.2),13372, Left longus colli, Left longus colli,0
FMA (3.2),84225, Left lower central primary incisor tooth, Left lower central primary incisor tooth,0
FMA (3.2),57143, Left lower central secondary incisor tooth, Left lower central secondary incisor tooth,0
FMA (3.2),54444, Left lower eyelid, Left lower eyelid,0
FMA (3.2),84243, Left lower first primary molar tooth, Left lower first primary molar tooth,0
FMA (3.2),55704, Left lower first secondary molar tooth, Left lower first secondary molar tooth,0
FMA (3.2),55693, Left lower first secondary premolar tooth, Left lower first secondary premolar tooth,0
FMA (3.2),84227, Left lower lateral primary incisor tooth, Left lower lateral primary incisor tooth,0
FMA (3.2),57141, Left lower lateral secondary incisor tooth, Left lower lateral secondary incisor tooth,0
FMA (3.2),68201, Left lower lobar artery, Left lower lobar artery,0
FMA (3.2),84233, Left lower primary canine tooth, Left lower primary canine tooth,0
FMA (3.2),84245, Left lower second primary molar tooth, Left lower second primary molar tooth,0
FMA (3.2),55703, Left lower second secondary molar tooth, Left lower second secondary molar tooth,0
FMA (3.2),55692, Left lower second secondary premolar tooth, Left lower second secondary premolar tooth,0
FMA (3.2),55687, Left lower secondary canine tooth, Left lower secondary canine tooth,0
FMA (3.2),229167, Left lower superficial inguinal lymphatic chain, Left lower superficial inguinal lymphatic chain,0
FMA (3.2),55702, Left lower third secondary molar tooth, Left lower third secondary molar tooth,0
FMA (3.2),16602, Left lumbar lymph node, Left lumbar lymph node,0
FMA (3.2),277691, Left lumbar lymph node group, Left lumbar lymph node group,0
FMA (3.2),71775, Left lumbar lymph node group proper, Left lumbar lymph node group proper,0
FMA (3.2),66151, Left lumbar lymphatic tree, Left lumbar lymphatic tree,0
FMA (3.2),5841, Left lumbar lymphatic trunk, Left lumbar lymphatic trunk,0
FMA (3.2),23090, Left lumbar rotator, Left lumbar rotator,0
FMA (3.2),24438, Left lunate, Left lunate,0
FMA (3.2),276122, Left main nasal cavity, Left main nasal cavity,0
FMA (3.2),232660, Left malar lymph node, Left malar lymph node,0
FMA (3.2),259119, Left male breast proper, Left male breast proper,0
FMA (3.2),74409, Left male genital duct, Left male genital duct,0
FMA (3.2),74053, Left malleus, Left malleus,0
FMA (3.2),57991, Left mammary gland, Left mammary gland,0
FMA (3.2),232668, Left mandibular lymph node, Left mandibular lymph node,0
FMA (3.2),235620, Left marginal lingual lymphatic tree, Left marginal lingual lymphatic tree,0
FMA (3.2),4708, Left marginal vein, Left marginal vein,0
FMA (3.2),55092, Left masticator compartment, Left masticator compartment,0
FMA (3.2),84978, Left masticator space, Left masticator space,0
FMA (3.2),52006, Left mastoid emissary vein, Left mastoid emissary vein,0
FMA (3.2),232646, Left mastoid lymph node, Left mastoid lymph node,0
FMA (3.2),61724, Left mastoid part of head, Left mastoid part of head,0
FMA (3.2),53650, Left maxilla, Left maxilla,0
FMA (3.2),57717, Left maxillary sinus, Left maxillary sinus,0
FMA (3.2),9447, Left medial basal segmental vein, Left medial basal segmental vein,0
FMA (3.2),24522, Left medial cuneiform bone, Left medial cuneiform bone,0
FMA (3.2),232612, Left medial diaphragmatic lymph node, Left medial diaphragmatic lymph node,0
FMA (3.2),275195, Left medial occipitotemporal gyrus, Left medial occipitotemporal gyrus,0
FMA (3.2),274375, Left medial olfactory gyrus, Left medial olfactory gyrus,0
FMA (3.2),65295, Left medial pectoral nerve, Left medial pectoral nerve,0
FMA (3.2),49057, Left medial rectus, Left medial rectus,0
FMA (3.2),265689, Left medial retropharyngeal lymphatic chain, Left medial retropharyngeal lymphatic chain,0
FMA (3.2),74115, Left median lobe of prostate, Left median lobe of prostate,0
FMA (3.2),37068, Left median nerve, Left median nerve,0
FMA (3.2),50841, Left meningeal vein, Left meningeal vein,0
FMA (3.2),46827, Left mentalis, Left mentalis,0
FMA (3.2),19820, Left mesometrium, Left mesometrium,0
FMA (3.2),19810, Left mesosalpinx, Left mesosalpinx,0
FMA (3.2),19818, Left mesovarium, Left mesovarium,0
FMA (3.2),63155, Left middle ear compartment, Left middle ear compartment,0
FMA (3.2),57471, Left middle ethmoidal cell, Left middle ethmoidal cell,0
FMA (3.2),22563, Left middle genicular artery, Left middle genicular artery,0
FMA (3.2),57484, Left middle nasal meatus, Left middle nasal meatus,0
FMA (3.2),59742, Left middle nasal meatus proper, Left middle nasal meatus proper,0
